MMSI;Name;Call;Type
273357860;273357860;UNK;N/A
273351260;273351260;UNK;N/A
629009698;629009698;UNK;N/A
461000264;461000264;UNK;N/A
366937490;GL OSTRANDER;WCV7620;Tug
341516000;341516000;UNK;N/A
538090700;EIHWAZ;V7A3769;Cargo
436000393;436000393;UNK;N/A
636023688;636023688;UNK;N/A
372575000;372575000;UNK;N/A
232063146;232063146;UNK;N/A
538006939;538006939;UNK;N/A
538011963;538011963;UNK;N/A
403746980;403746980;UNK;N/A
613541600;613541600;UNK;N/A
309864000;309864000;UNK;N/A
311001754;311001754;UNK;N/A
636024213;636024213;UNK;N/A
273254690;273254690;UNK;N/A
511422000;511422000;UNK;N/A
249858000;249858000;UNK;N/A
304812000;304812000;UNK;N/A
273318700;273318700;UNK;N/A
413233230;413233230;UNK;N/A
319329900;319329900;UNK;N/A
636018375;636018375;UNK;N/A
232058582;232058582;UNK;N/A
413573720;413573720;UNK;N/A
413382250;413382250;UNK;N/A
235099666;235099666;UNK;N/A
636016145;636016145;UNK;N/A
563298900;563298900;UNK;N/A
228488800;OE CORINTHIAN;FLOG;Passenger
525501103;525501103;UNK;N/A
525013036;525013036;UNK;N/A
636015427;636015427;UNK;N/A
352005898;352005898;UNK;N/A
352004235;352004235;UNK;N/A
373987000;373987000;UNK;N/A
210680000;210680000;UNK;N/A
414353000;414353000;UNK;N/A
273613800;273613800;UNK;N/A
352004691;352004691;UNK;N/A
477264500;477264500;UNK;N/A
657281600;657281600;UNK;N/A
567581000;567581000;HSB7121;Tanker
610000052;BOLTARIS;TYAF6;Tanker
441720000;441720000;UNK;N/A
258136010;258136010;UNK;N/A
352005771;352005771;UNK;N/A
563241300;563241300;UNK;N/A
273318260;273318260;UNK;N/A
375723000;375723000;UNK;N/A
470037000;470037000;UNK;N/A
352004814;352004814;UNK;N/A
477025400;477025400;UNK;N/A
529156000;529156000;UNK;N/A
247123456;247123456;UNK;N/A
414988000;414988000;UNK;N/A
314090000;314090000;UNK;N/A
245165000;245165000;UNK;N/A
245044040;245044040;UNK;N/A
374140000;374140000;UNK;N/A
273356510;273356510;UNK;N/A
538011961;538011961;UNK;N/A
356634000;356634000;UNK;N/A
629009720;SAGA;C5J822;Tanker
441258000;441258000;UNK;N/A
247733500;247733500;UNK;N/A
636025718;STAR SHANGHAI;5LYV2;Cargo
413364820;413364820;UNK;N/A
538010687;538010687;UNK;N/A
314092000;314092000;UNK;N/A
209163000;209163000;UNK;N/A
352001660;352001660;UNK;N/A
273355450;273355450;UNK;N/A
314097000;314097000;UNK;N/A
273342900;273342900;UNK;N/A
273413030;273413030;UNK;N/A
629009050;629009050;UNK;N/A
636023078;636023078;UNK;N/A
370722000;370722000;UNK;N/A
577106000;577106000;UNK;N/A
273311400;273311400;UNK;N/A
629009670;629009670;UNK;N/A
629009638;629009638;UNK;N/A
311001792;311001792;UNK;N/A
273442040;273442040;UNK;N/A
273342000;SALSK;UCRA;Cargo
422016800;422016800;UNK;N/A
629009666;629009666;UNK;N/A
268251904;268251904;UNK;N/A
273384210;273384210;UNK;N/A
273212750;273212750;UNK;N/A
413380310;413380310;UNK;N/A
470540000;470540000;UNK;N/A
525109024;525109024;UNK;N/A
273358170;273358170;UNK;N/A
632833135;632833135;UNK;N/A
413339770;413339770;UNK;N/A
538005198;538005198;UNK;N/A
563310800;563310800;UNK;N/A
508111334;508111334;UNK;N/A
414671000;414671000;UNK;N/A
563281300;563281300;UNK;N/A
413304170;413304170;UNK;N/A
273310850;273310850;UNK;N/A
440217000;440217000;UNK;N/A
525104016;525104016;UNK;N/A
412434000;412434000;UNK;N/A
273424020;273424020;UNK;N/A
563251900;563251900;UNK;N/A
563303900;563303900;UNK;N/A
563289800;563289800;UNK;N/A
273263540;273263540;UNK;N/A
232063149;232063149;UNK;N/A
525300061;525300061;UNK;N/A
503694000;503694000;UNK;N/A
352003553;352003553;UNK;N/A
565055000;565055000;UNK;N/A
205422000;205422000;UNK;N/A
414238000;414238000;UNK;N/A
563291500;563291500;UNK;N/A
414787000;414787000;UNK;N/A
352002729;352002729;UNK;N/A
403242590;403242590;UNK;N/A
211626280;211626280;UNK;N/A
273335500;VOLGOGRAD;UFUY;Cargo
232063157;232063157;UNK;N/A
207967000;207967000;UNK;N/A
273263110;273263110;UNK;N/A
219030000;219030000;UNK;N/A
636023936;VALI;5LQD7;Other
565245000;565245000;UNK;N/A
273422500;273422500;UNK;N/A
352999000;352999000;UNK;N/A
305592000;305592000;UNK;N/A
572919210;572919210;UNK;N/A
352005223;352005223;UNK;N/A
210628000;210628000;UNK;N/A
232063063;232063063;UNK;N/A
228444800;228444800;UNK;N/A
375069000;375069000;UNK;N/A
629009662;629009662;UNK;N/A
650000123;650000123;UNK;N/A
375454000;375454000;UNK;N/A
563304100;PEKIN;9V5628;Cargo
353167000;ARSHAN;3FWU5;Cargo
273294280;PILTUN;UBRW7;Other
538090688;TELERIG;V7A3653;Cargo
667002505;FESCO EKATERINA;9LS2208;Cargo
273422740;OMEGA;UHVA;Cargo
538010664;NOBLE VENTURER;V7A7222;Other
255916109;ATHENIAN HORIZON;CQ2538;Tanker
352004833;KIMBERLY 8;3E7070;Cargo
636025672;NETA A.;5LYP4;Cargo
247028700;EXPLORA;IXWQ;Other
305007400;CICCIO;V2C2007;Cargo
629009736;MT CROCO;C5J838;Tanker
629009696;VELMAR;C5J798;Tanker
577672000;JALDHARA;YJRC8;Tanker
636025766;ESPADA X;5LZB3;Cargo
636024786;MAUI;5LUG8;Tanker
440494000;GLOBAL ENTERPRISE;D7MQ;Cargo
636024659;HONG RUN 26;5LTR8;Cargo
273432870;LUGA;UHNN;Tanker
273380040;DIRAX;UAVD;Tug
352005642;NORD MATE;3E8867;Tanker
305022300;BOND;V2B2022;Tanker
311046800;SCARABEO 9;C6YV7;Other
667002408;ZIAD JUNIOR;9LS2111;Cargo
232035395;S.Y. PALATIA;MIZT8;Sailing
629009770;DUSK;C5J872;Tanker
273611080;CRYSTAL STPETERSBURG;UBWY2;Cargo
632001160;MYRA;3X2132;Tanker
241375000;DRAFTVADER;SVCE8;Cargo
636020992;ARCHER;A8LN2;Cargo
563293700;SAPPHIRE;9V7762;Cargo
636025443;CAPRI;5LXM2;Tanker
215626000;ELISAR;9HA2773;Cargo
613702110;FORTIS;TJMD6;Tanker
352006053;DORIS;3E8522;Cargo
352005828;PRECIOUS BALBOA;3E9017;Tanker
538011422;ALPHA LEGEND;V7A7110;Cargo
577678000;MARJORIE;YJRD6;Tanker
352005910;SCOMBRUS;3E9081;Cargo
314001086;ISKANDAR;8PZR5;Other
244702000;RDJ DONGESTROOM;PCWH;Cargo
261031260;OCEAN TEAM;SPS3324;Sailing
255806405;ANDALUCIA EXPRESS;CQEK2;Cargo
538011992;MDS APHRODITE;V7A3783;Cargo
341936001;DANIA;V4LG6;Cargo
563280800;SEASPAN OCEANIA;9VMV3;Cargo
629009712;DASHAN;C5J814;Tanker
271044013;AHMET TELLI;TCA3356;Tanker
314001101;CRYSTAL LAND;8PZT4;Cargo
228473600;F/V SEMILLANTE;FNWK;Fishing
538011752;IYALOJA(LAGOS);V7A3409;Tanker
249535000;ECO SIROCCO;9HA6289;Cargo
247416600;GRANDE AUCKLAND;IBEE;Cargo
538012010;TEJAS;V7A3831;Tanker
273324640;IEVOLI ORANGE;UEZR;Tug
245773000;HK82 JAN;PF3908;Fishing
352004864;SWANLAKE;3E7094;Tanker
255916310;ALBINA;CQ2739;Cargo
366970330;CHERAMIE BOTRUC NO39;WDP8201;Cargo
572742220;RAWABI 214;T2CZ6;Other
367612350;HOS BRIARWOOD;WDH3924;Other
210627000;MOLVIK;5BVX6;Cargo
305356000;SANTORINA;V2RH9;Cargo
241150000;JOHN M CARRAS;SVBK5;Cargo
205406790;PHORCYS;OT4067;Tanker
311001786;WILSON PALDISKI;C6IV7;Cargo
205433000;GOLDEN FURIOUS;ONPG;Cargo
227430000;F/V THORTEVALD;FGUI;Fishing
413068000;XIN SU ZHOU;BPBK;Cargo
230721000;AURORA;OJDL;Other
265062000;FURE VEN;SBED;Tanker
338145235;ELLEN JEAN;;Fishing
314001135;BC LIBERTY;8PZX6;Cargo
511101654;ECE;T8A5115;Cargo
250002961;DON CARLOS;EIOP9;Sailing
538002772;ASTERIS;V7LN3;Cargo
219034373;TERN LAND;OUVR2;Tanker
352544000;MARINA VOYAGER;3EQS9;Cargo
563302200;IONA ISLAND;9VHR7;Cargo
636024959;DAPENGSHAN;5LVC8;Tanker
319305600;PANGEA;ZGPJ2;Pleasure
224161170;VB PODER;EAAK;Tug
357288000;NEW PIONEER;3FNH6;Cargo
563266500;YANGZE 31;9VEI8;Cargo
477155500;CM HONG KONG;VRWW9;Cargo
273354270;KORE;UBRI9;Tanker
538011991;AQUA LARES;V7A3781;Pleasure
257368000;HOEGH COPENHAGEN;LAIJ7;Cargo
311001767;CMA CGM EAST;C6IT6;Cargo
244028173;DALTON;PB7978;Other
352004134;LADY NANA;3E7635;Cargo
228351800;JANUS 2;FOQZ;Dredging
247449800;VALKYRIE;IOPF2;Other
477138200;MILD CONCERTO;VRWR3;Cargo
341357002;VULIN;V4BK7;Cargo
228484800;TSM TREZ;FOJB;Tug
244650652;SEAZIP 6;PBGR;Other
247055000;TELEPASS;IBII;Passenger
677028000;BASHAR ONE TRANSPORT;5IM380;Other
403741180;FOLK YANBU;HZNZ;Cargo
622121428;WADI ALMALEKAT;6BDL;Cargo
636025590;S-BOND;5LYE8;Cargo
667002517;TALEEN;9LS2220;Cargo
412377000;WEI LUN JU LONG;BOCL8;Cargo
211512540;CATHARINA 10;DC5773;Cargo
244700363;ZEELAND;PF6966;Other
413387770;FEI DA 189;BPCW2;Cargo
414086000;GUO YUAN 20;BPZV8;Cargo
372435000;GRACE PIONEER;3EUA4;Cargo
211826350;SERAFINA;DA7707;Pleasure
629009048;SPRING FORTUNE;C5J8O4;Tanker
232063279;OM BORNEO;MSRI6;Tanker
255916523;RIO FREDRIKSTAD;CQ2772;Tanker
210647000;IWS MOONWALKER;5BET6;Other
572829220;MAVI VATAN;T2GI6;Cargo
232060878;OEG FULMAR;MRZU3;HSC
319324100;LEVIATHAN;ZGUZ3;Pleasure
373616000;SIDER VIVARA;3FJJ6;Cargo
219012639;CATHRIN;OWCT2;Passenger
273338500;PINDUSHI;UFLG;Cargo
538011971;DS MYKONOS;V7A3745;Cargo
667002211;MARS 6;9LS1914;Tanker
249291000;ANTHIA;9HA6215;Cargo
259408000;FIRDA EIR;LNJF;Other
219021596;SIF;OWJB;Law Enforcement
636025365;IDEE FIXE;5LXB9;Cargo
245425000;VB EBRO;PDIO;Tug
257112500;AASSJOEN;LG6181;Fishing
218054210;SCHARHOERN;DBPO;Other
211215700;HIDDENSEE;DLVH;Law Enforcement
235000032;ORMESBY CROSS;ZQBH9;Tug
352005614;RICHSING LOTUS;3E8848;Cargo
636025349;NEW SPIROS;5LWZ9;Tanker
268252603;SURSUM CORDA;T7CW5;Other
304742000;VEGA CLARA;V2IB4;Cargo
273437560;ARMADA NAVIGATOR;UDOU;Tanker
356602000;PLUTON;3ERG;Cargo
620800019;BOSTON BEACON;D6A4019;Tanker
577018000;ANNIS;YJRA8;Cargo
563266400;AL MAS'HABIYYAH;9V9760;Tanker
373320000;ATLANTIC ISLAND;HOLY;Cargo
636024947;NAVIGATOR TITAN;A8VV4;Tanker
366766000;NORTHSTAR NAVIGATOR;WNMN;Cargo
477155400;JU FU;VRWX6;Cargo
538011374;WECO SENNA;V7A7036;Tanker
265170000;SWEDISH WARSHIP P04;SKFQ;Military
563281600;YM WELCOME;9VMX8;Cargo
353399000;TAO ACE;3FQQ6;Cargo
232060161;NJORD ZEST;MRUR4;Passenger
231915000;KOLLAND;OZ2236;Cargo
311001678;PIONEER;C6II7;Other
311001601;SAGA ADVENTURE;C6HY4;Cargo
352005658;TETHYS;3E8882;Tanker
367336380;SKIPJACK;WDG9752;Local Type
563291900;ZIM EMERALD;9V6689;Cargo
209108000;SW DUCHESS;5BJC3;Other
244780105;WAVEWALKER 1;PBVH;Dredging
228100420;OCEAN FIRST;FAJ4431;Sailing
629009674;PACIFIC;C5J776;Tanker
271053799;CHEM DIDI;TCA8777;Tanker
257830000;AASVAERFJORD;LFZC;Cargo
271000269;ATASOYLAR;TCGK;Cargo
636025320;RIVER GRACE;5LWV8;Cargo
636024550;AL QA IYYAH;5LTD5;Tanker
367176750;PACIFIC HOOKER;UNK;Fishing
256598000;CMA CGM BAHIA;9HA5899;Cargo
441326000;WOOYANG VICTORY;D7OW;Cargo
277397000;CASSIOPEA;LYTA;Cargo
305315000;BBC CHALLENGER;V2FB8;Cargo
